algorithm,params,features,n_features,train_time,predict_time,mem_max,f1_weighted,balanced_accuracy,roc_auc_ovr_weighted,confusion_matrix
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 15), ('p', 3)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.002452300000001628,0.005019973333333401,1893.23046875,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 13), ('p', 2)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.0029250999999987926,0.005007533333333214,1896.08203125,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 11), ('p', 2)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.0025789999999972224,0.0050407933333332265,1898.82421875,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 11), ('p', 3)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.0029217999999957556,0.005346316666666932,1900.80859375,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 3), ('p', 3)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.002908899999994219,0.005274566666666658,1903.546875,0.9665831244778613,0.9666666666666667,0.9966666666666666,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 9), ('p', 2)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.0024764000000061515,0.005937856666666619,1905.54296875,0.9665831244778613,0.9666666666666667,0.9966666666666667,"[[10  0  0]
 [ 0  9  1]
 [ 0  0 10]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 9), ('p', 3)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.00294169999999383,0.005286359999999964,1908.67578125,0.9665831244778613,0.9666666666666667,0.9966666666666668,"[[10  0  0]
 [ 0  9  1]
 [ 0  0 10]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 7), ('p', 3)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.0037556999999992513,0.005246820000000222,1911.28515625,0.9665831244778613,0.9666666666666667,0.9966666666666666,"[[10  0  0]
 [ 0  9  1]
 [ 0  0 10]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 7), ('p', 2)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.002975499999990916,0.005787083333333006,1914.21484375,0.9665831244778613,0.9666666666666667,0.9983333333333334,"[[10  0  0]
 [ 0  9  1]
 [ 0  0 10]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 5), ('p', 2)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.0026907999999963295,0.005878803333333357,1916.359375,0.9665831244778613,0.9666666666666667,0.9983333333333334,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 17), ('p', 2)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.003737600000022212,0.008609469999999913,1919.37109375,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 5), ('p', 3)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.0028708000000108314,0.005105336666666934,1921.9765625,0.9665831244778613,0.9666666666666667,0.9983333333333334,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 17), ('p', 3)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.0031479000000160795,0.00526230666666739,1925.40234375,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 15), ('p', 2)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.0030427000000088356,0.005186749999999544,1928.125,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 13), ('p', 3)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.002509700000018711,0.00541975333333274,1929.58203125,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 3), ('p', 2)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.002538600000008273,0.004805253333333326,1932.2265625,0.9665831244778613,0.9666666666666667,0.9966666666666666,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 15), ('p', 3)])","('sepal_length', 'petal_length', 'petal_width')",3,0.0024698000000000775,0.005136083333332901,1990.44140625,0.9665831244778613,0.9666666666666667,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 13), ('p', 2)])","('sepal_length', 'petal_length', 'petal_width')",3,0.0033828999999911957,0.005045659999999922,1992.6171875,0.9665831244778613,0.9666666666666667,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 11), ('p', 2)])","('sepal_length', 'petal_length', 'petal_width')",3,0.0032342000000085136,0.0059168033333331016,1995.8046875,0.9665831244778613,0.9666666666666667,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 11), ('p', 3)])","('sepal_length', 'petal_length', 'petal_width')",3,0.00324370000001295,0.0050181900000003075,1998.5078125,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 3), ('p', 3)])","('sepal_length', 'petal_length', 'petal_width')",3,0.0024268999999890184,0.005132529999999255,2000.703125,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 9), ('p', 2)])","('sepal_length', 'petal_length', 'petal_width')",3,0.0032638000000133616,0.005965649999999793,2003.515625,0.9665831244778613,0.9666666666666667,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 17), ('p', 2)])","('sepal_length', 'petal_length', 'petal_width')",3,0.002506000000039421,0.005009303333334477,2006.7265625,0.9665831244778613,0.9666666666666667,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 13), ('p', 3)])","('sepal_length', 'petal_length', 'petal_width')",3,0.0026105000000029577,0.0050816133333322945,2010.1796875,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 15), ('p', 2)])","('sepal_length', 'petal_length', 'petal_width')",3,0.003434799999979532,0.004661200000000084,2012.82421875,0.9665831244778613,0.9666666666666667,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 7), ('p', 3)])","('sepal_length', 'petal_length', 'petal_width')",3,0.0032851000000277963,0.005149876666666842,2016.515625,0.9665831244778613,0.9666666666666667,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 3), ('p', 2)])","('sepal_length', 'petal_length', 'petal_width')",3,0.0024568000000044776,0.011667236666666744,2019.22265625,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 17), ('p', 3)])","('sepal_length', 'petal_length', 'petal_width')",3,0.0025899999999978718,0.004902273333334506,2022.21875,0.9665831244778613,0.9666666666666667,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 7), ('p', 2)])","('sepal_length', 'petal_length', 'petal_width')",3,0.006297400000050857,0.00751808333333391,2025.23828125,0.9665831244778613,0.9666666666666667,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 5), ('p', 3)])","('sepal_length', 'petal_length', 'petal_width')",3,0.0036207999999646745,0.005335789999999937,2028.42578125,0.9665831244778613,0.9666666666666667,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 9), ('p', 3)])","('sepal_length', 'petal_length', 'petal_width')",3,0.0028673999999568878,0.004971409999999802,2031.58984375,0.9665831244778613,0.9666666666666667,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('n_neighbors', 5), ('p', 2)])","('sepal_length', 'petal_length', 'petal_width')",3,0.0034550999999964915,0.004780830000000454,2034.2109375,0.9665831244778613,0.9666666666666667,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
