algorithm,params,features,n_features,train_time,predict_time,mem_max,f1,accuracy,roc_auc,confusion_matrix
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 3}","('1620', '666', '2182', '3143', '1834', '851', '844', '3021', '2092', '2596', '2828', '543', '2719', '1862', '3793', '363', '2972', '1355', '412', '3265', '2363', '2519', '1148', '384', '3211', '2130', '3034', '1688')",28,0.003064700000003029,0.0010237040201004958,3774.890625,0.2631578947368421,0.5778894472361809,0.43446236559139784,"[[100  24]
 [ 60  15]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 3, 'p': 3}","('1620', '666', '2182', '3143', '1834', '851', '844', '3021', '2092', '2596', '2828', '543', '2719', '1862', '3793', '363', '2972', '1355', '412', '3265', '2363', '2519', '1148', '384', '3211', '2130', '3034', '1688')",28,0.0031990999999962355,0.0010544080402010022,3777.87890625,0.2380952380952381,0.5175879396984925,0.5008064516129033,"[[88 36]
 [60 15]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 2}","('1620', '666', '2182', '3143', '1834', '851', '844', '3021', '2092', '2596', '2828', '543', '2719', '1862', '3793', '363', '2972', '1355', '412', '3265', '2363', '2519', '1148', '384', '3211', '2130', '3034', '1688')",28,0.002890199999995957,0.0009754492462311743,3781.28515625,0.4099378881987578,0.5226130653266332,0.464247311827957,"[[71 53]
 [42 33]]"
