algorithm,params,features,n_features,train_time,predict_time,mem_max,f1,accuracy,roc_auc,confusion_matrix
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 3}","('1620', '666', '2182', '3143', '1834', '851', '844', '3021', '2092', '2596', '2828', '543', '2719', '1862', '3793', '363', '2972', '1355', '412', '3265', '2363', '2519', '1148', '384', '3211', '2130', '3034', '1688')",28,0.015672200000004466,0.002389401507537673,3785.375,0.13084112149532712,0.5326633165829145,0.41698924731182796,"[[99 25]
 [68  7]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 3, 'p': 3}","('1620', '666', '2182', '3143', '1834', '851', '844', '3021', '2092', '2596', '2828', '543', '2719', '1862', '3793', '363', '2972', '1355', '412', '3265', '2363', '2519', '1148', '384', '3211', '2130', '3034', '1688')",28,0.009580499999998437,0.0018494276381909429,3787.3515625,0.19642857142857145,0.5477386934673367,0.44908602150537635,"[[98 26]
 [64 11]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 2}","('1620', '666', '2182', '3143', '1834', '851', '844', '3021', '2092', '2596', '2828', '543', '2719', '1862', '3793', '363', '2972', '1355', '412', '3265', '2363', '2519', '1148', '384', '3211', '2130', '3034', '1688')",28,0.006827900000004661,0.0015725115577889762,3791.01171875,0.1509433962264151,0.5477386934673367,0.455268817204301,"[[101  23]
 [ 67   8]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 3}","('1620', '666', '3143', '1834', '851', '844', '3021', '2092', '2596', '2828', '543', '2719', '1862', '363', '1355', '412', '3265', '2363', '2519', '1148', '384', '3211', '2130', '3034', '1688')",25,0.004782899999995038,0.0010193110552763475,3802.47265625,0.16363636363636364,0.5376884422110553,0.4478494623655913,"[[98 26]
 [66  9]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 3, 'p': 3}","('1620', '666', '3143', '1834', '851', '844', '3021', '2092', '2596', '2828', '543', '2719', '1862', '363', '1355', '412', '3265', '2363', '2519', '1148', '384', '3211', '2130', '3034', '1688')",25,0.0028703000000120937,0.0011021336683416738,3804.953125,0.17857142857142858,0.5376884422110553,0.4596236559139785,"[[97 27]
 [65 10]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 2}","('1620', '666', '3143', '1834', '851', '844', '3021', '2092', '2596', '2828', '543', '2719', '1862', '363', '1355', '412', '3265', '2363', '2519', '1148', '384', '3211', '2130', '3034', '1688')",25,0.004059299999994437,0.0010622185929648326,3809.39453125,0.13084112149532712,0.5326633165829145,0.4491935483870968,"[[99 25]
 [68  7]]"
