algorithm,params,features,n_features,train_time,predict_time,mem_max,f1,accuracy,roc_auc,confusion_matrix
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 3}","('1620', '666', '2182', '3143', '1834', '851', '844', '3021', '2092', '2596', '2828', '543', '2719', '1862', '3793', '363', '2972', '1355', '412', '3265', '2363', '2519', '1148', '384', '3211', '2130', '3034', '1688')",28,0.004268899999999576,0.0010116894472361653,3812.4453125,0.6521739130434783,0.5175879396984925,0.4510215053763441,"[[13 62]
 [34 90]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 3, 'p': 3}","('1620', '666', '2182', '3143', '1834', '851', '844', '3021', '2092', '2596', '2828', '543', '2719', '1862', '3793', '363', '2972', '1355', '412', '3265', '2363', '2519', '1148', '384', '3211', '2130', '3034', '1688')",28,0.003115500000006932,0.0009551251256281279,3814.88671875,0.6350364963503649,0.49748743718592964,0.43037634408602155,"[[12 63]
 [37 87]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 2}","('1620', '666', '2182', '3143', '1834', '851', '844', '3021', '2092', '2596', '2828', '543', '2719', '1862', '3793', '363', '2972', '1355', '412', '3265', '2363', '2519', '1148', '384', '3211', '2130', '3034', '1688')",28,0.003933499999988044,0.0011056603015075113,3817.87109375,0.6523297491039427,0.5125628140703518,0.4571505376344086,"[[11 64]
 [33 91]]"
