algorithm,params,features,n_features,train_time,predict_time,mem_max,f1_weighted,balanced_accuracy,roc_auc_ovr_weighted,confusion_matrix
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 15), ('p', 3)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.0025350000000017303,0.0050843000000000416,1893.296875,0.9665831244778613,0.9666666666666667,0.9983333333333334,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 13), ('p', 2)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.003425199999995243,0.007939760000000008,1895.94921875,0.9665831244778613,0.9666666666666667,0.9983333333333334,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 11), ('p', 2)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.0038184999999941738,0.007094896666666747,1896.66796875,0.9665831244778613,0.9666666666666667,0.9916666666666667,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 11), ('p', 3)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.0026108999999934213,0.005681116666666716,1898.15625,0.9665831244778613,0.9666666666666667,0.9966666666666668,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 3), ('p', 3)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.0032438000000070133,0.004987253333333304,1900.58984375,0.9333333333333333,0.9333333333333332,0.9933333333333333,"[[10  0  0]
 [ 0  9  1]
 [ 0  1  9]]"
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 9), ('p', 2)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.00245290000000864,0.004943886666666704,1903.4375,0.8997493734335841,0.9,0.9933333333333333,"[[10  0  0]
 [ 0  8  2]
 [ 0  1  9]]"
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 3), ('p', 2)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.01014930000000902,0.014473606666666684,1906.7890625,0.9333333333333333,0.9333333333333332,0.9933333333333333,"[[10  0  0]
 [ 0  9  1]
 [ 0  1  9]]"
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 17), ('p', 2)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.002581400000011058,0.0049528533333334695,1910.56640625,0.9665831244778613,0.9666666666666667,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 17), ('p', 3)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.00656739999999445,0.007639660000000011,1913.03125,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 13), ('p', 3)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.0027861000000086733,0.004990403333332931,1915.890625,0.9665831244778613,0.9666666666666667,0.9966666666666668,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 7), ('p', 2)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.002955799999995179,0.005074776666666026,1918.1875,0.9333333333333333,0.9333333333333332,0.995,"[[10  0  0]
 [ 0  9  1]
 [ 0  1  9]]"
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 5), ('p', 2)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.0024776999999858162,0.005341576666666962,1922.0,0.9333333333333333,0.9333333333333332,0.9933333333333333,"[[10  0  0]
 [ 0  9  1]
 [ 0  1  9]]"
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 7), ('p', 3)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.0024356000000125277,0.004799293333332836,1925.015625,0.9333333333333333,0.9333333333333332,0.995,"[[10  0  0]
 [ 0  9  1]
 [ 0  1  9]]"
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 9), ('p', 3)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.0026531000000034055,0.005128090000000422,1927.92578125,0.9333333333333333,0.9333333333333332,0.995,"[[10  0  0]
 [ 0  9  1]
 [ 0  1  9]]"
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 15), ('p', 2)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.0031807000000014796,0.004882766666667256,1931.140625,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 5), ('p', 3)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.002687799999989693,0.004928403333333146,1934.12109375,0.9665831244778613,0.9666666666666667,0.995,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
