alteracoes_com,alteracoes_da,alteracoes_para,com_problema
0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0
0.1832,0.2317,0.9556,1.0
0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0
0.368,0.9297,0.0,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.7646,0.6445,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
0.524,0.4414,0.7285,0.0
0.521,0.6587,0.543,0.0
0.0,0.0,0.0,1.0
0.6924,0.0,0.7217,1.0
0.6924,0.0,0.7217,0.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0
0.6924,0.0,0.7217,0.0
0.6924,0.0,0.7217,0.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0
