algorithm,params,features,n_features,train_time,predict_time,mem_max,f1,accuracy,roc_auc,confusion_matrix
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 3}","('363', '384', '412', '543', '666', '844', '851', '1148', '1355', '1620', '1688', '1862', '2092', '2130', '2363', '2596', '2719', '2828', '3143', '3211', '3793')",21,0.004480400000005602,0.0009955849246230698,3815.59765625,0.6119402985074626,0.7386934673366834,0.7465053763440861,"[[106  18]
 [ 34  41]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 3, 'p': 3}","('363', '384', '412', '543', '666', '844', '851', '1148', '1355', '1620', '1688', '1862', '2092', '2130', '2363', '2596', '2719', '2828', '3143', '3211', '3793')",21,0.003832700000003797,0.00094002110552754,3818.05078125,0.6142857142857143,0.7286432160804021,0.7244086021505376,"[[102  22]
 [ 32  43]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 2}","('363', '384', '412', '543', '666', '844', '851', '1148', '1355', '1620', '1688', '1862', '2092', '2130', '2363', '2596', '2719', '2828', '3143', '3211', '3793')",21,0.002368399999994608,0.001107975879397025,3822.18359375,0.5891472868217054,0.7336683417085427,0.6661290322580645,"[[108  16]
 [ 37  38]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 3}","('363', '384', '412', '543', '666', '844', '851', '1355', '1688', '1862', '2092', '2130', '2363', '2596', '2719', '2828', '3143', '3211', '3793')",19,0.0024886999999864656,0.0009759512562814007,3831.578125,0.5413533834586466,0.6934673366834171,0.633225806451613,"[[102  22]
 [ 39  36]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 3, 'p': 3}","('363', '384', '412', '543', '666', '844', '851', '1355', '1688', '1862', '2092', '2130', '2363', '2596', '2719', '2828', '3143', '3211', '3793')",19,0.003547499999996262,0.0009574557788944881,3834.16015625,0.5223880597014926,0.678391959798995,0.6763440860215054,"[[100  24]
 [ 40  35]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 2}","('363', '384', '412', '543', '666', '844', '851', '1355', '1688', '1862', '2092', '2130', '2363', '2596', '2719', '2828', '3143', '3211', '3793')",19,0.002755399999983865,0.0009746944723618622,3835.23828125,0.5413533834586466,0.6934673366834171,0.675,"[[102  22]
 [ 39  36]]"
