algorithm,params,features,n_features,train_time,predict_time,mem_max,f1_weighted,balanced_accuracy,roc_auc_ovr_weighted,confusion_matrix
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 3}","('petal_length', 'sepal_width', 'sepal_length')",3,0.0037550000000123873,0.014722200000001824,3659.43359375,0.711111111111111,0.7777777777777778,0.9326599326599326,"[[5 0 0]
 [0 4 0]
 [0 4 2]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 3, 'p': 3}","('petal_length', 'sepal_width', 'sepal_length')",3,0.004130500000030679,0.013544560000002547,3660.99609375,0.8666666666666667,0.8888888888888888,0.9141414141414141,"[[5 0 0]
 [0 4 0]
 [0 2 4]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 2}","('petal_length', 'sepal_width', 'sepal_length')",3,0.0058450000000220825,0.013345860000000206,3663.20703125,0.8666666666666667,0.8888888888888888,0.9797979797979798,"[[5 0 0]
 [0 4 0]
 [0 2 4]]"
