train_order,algorithm,features,n_features,train_time,mem_max,f1_weighted,accuracy,roc_auc_ovr_weighted,confusion_matrix
4,RandomForestClassifier(n_jobs=-1),"('petal_length', 'sepal_width', 'sepal_length')",3,19.0549484,2663.11328125,0.9644444444444445,0.9666666666666668,0.9958333333333332,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
22,RandomForestClassifier(n_jobs=-1),"('petal_length', 'sepal_length')",2,12.658484000000044,3265.44921875,0.9644444444444445,0.9666666666666668,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
1,SVC(probability=True),"('petal_length', 'sepal_width', 'sepal_length')",3,11.000407599999996,1586.0546875,0.8977777777777778,0.9,0.9666666666666666,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
0,KNeighborsClassifier(),"('petal_length', 'sepal_width', 'sepal_length')",3,11.147453900000002,1586.2421875,0.8977777777777778,0.9,0.975,"[[10  0  0]
 [ 0  9  1]
 [ 0  1  9]]"
2,GaussianProcessClassifier(),"('petal_length', 'sepal_width', 'sepal_length')",3,6.056175699999997,1589.7734375,0.8666666666666666,0.8666666666666666,0.925,"[[10  0  0]
 [ 0  9  1]
 [ 0  2  8]]"
5,MLPClassifier(),"('petal_length', 'sepal_width', 'sepal_length')",3,7.669009000000003,2663.00390625,0.8622222222222222,0.8333333333333333,0.9583333333333333,"[[10  0  0]
 [ 0  9  1]
 [ 0  2  8]]"
27,GaussianNB(),"('sepal_width', 'sepal_length')",2,14.609603499999992,3296.296875,0.8622222222222222,0.8666666666666666,0.9,"[[10  0  0]
 [ 0  9  1]
 [ 0  4  6]]"
15,LogisticRegression(),"('petal_length', 'sepal_width', 'sepal_length')",3,13.884712300000047,3236.0625,0.831111111111111,0.8333333333333333,0.95,"[[10  0  0]
 [ 0  9  1]
 [ 0  2  8]]"
25,GaussianProcessClassifier(),"('petal_length', 'sepal_length')",2,8.333067700000015,3295.03515625,0.8088888888888889,0.8333333333333334,0.8333333333333334,"[[10  0  0]
 [ 0  9  1]
 [ 0  2  8]]"
17,GradientBoostingClassifier(),"('sepal_width', 'sepal_length')",2,10.510343700000021,3235.31640625,0.7133333333333333,0.7333333333333333,0.8333333333333334,"[[9 1 0]
 [1 9 0]
 [0 6 4]]"
10,MultinomialNB(),"('petal_length', 'sepal_width', 'sepal_length')",3,10.964922700000017,2674.74609375,0.48,0.5,0.8166666666666668,"[[10  0  0]
 [ 0  6  4]
 [ 0  6  4]]"
12,HistGradientBoostingClassifier(),"('petal_length', 'sepal_width', 'sepal_length')",3,9.465080400000005,2675.3046875,0.16666666666666666,0.3333333333333333,0.5,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
20,HistGradientBoostingClassifier(),"('sepal_width', 'sepal_length')",2,9.104188000000022,3258.9609375,0.16666666666666666,0.3333333333333333,0.5,"[[10  0  0]
 [ 0  9  1]
 [ 0  7  3]]"
24,HistGradientBoostingClassifier(),"('petal_length', 'sepal_width')",2,10.173305599999992,3295.203125,0.16666666666666666,0.3333333333333333,0.5,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
