algorithm,params,features,n_features,train_time,predict_time,mem_max,f1,accuracy,roc_auc,confusion_matrix
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 3}","('4029', '3845', '3793', '3211', '3021', '2972', '2828', '2719', '2598', '2596', '2363', '2130', '2115', '2092', '1667', '1620', '1355', '1148', '851', '844', '543', '412', 'Unnamed: 0')",23,0.003173299999957635,0.0008773037783376416,5665.515625,0.7972972972972971,0.8488664987405542,0.8618334126103271,"[[219  19]
 [ 41 118]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 3, 'p': 3}","('4029', '3845', '3793', '3211', '3021', '2972', '2828', '2719', '2598', '2596', '2363', '2130', '2115', '2092', '1667', '1620', '1355', '1148', '851', '844', '543', '412', 'Unnamed: 0')",23,0.0027052000000367116,0.0008996609571788044,5667.66796875,0.7641196013289037,0.8211586901763224,0.84110247872734,"[[211  27]
 [ 44 115]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 2}","('4029', '3845', '3793', '3211', '3021', '2972', '2828', '2719', '2598', '2596', '2363', '2130', '2115', '2092', '1667', '1620', '1355', '1148', '851', '844', '543', '412', 'Unnamed: 0')",23,0.00353020000000015,0.0007239065491183659,5662.8125,0.782312925170068,0.8387909319899244,0.8627979493684266,"[[218  20]
 [ 44 115]]"
