algorithm,params,features,n_features,train_time,predict_time,mem_max,f1,accuracy,roc_auc,confusion_matrix
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 3}","('1620', '666', '2182', '3143', '1834', '851', '844', '3021', '2092', '2596', '2828', '543', '2719', '1862', '3793', '363', '2972', '1355', '412', '3265', '2363', '2519', '1148', '384', '3211', '2130', '3034', '1688')",28,0.002644400000008318,0.0010755537688442818,3788.48828125,0.16513761467889906,0.542713567839196,0.4460752688172043,"[[99 25]
 [66  9]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 3, 'p': 3}","('1620', '666', '2182', '3143', '1834', '851', '844', '3021', '2092', '2596', '2828', '543', '2719', '1862', '3793', '363', '2972', '1355', '412', '3265', '2363', '2519', '1148', '384', '3211', '2130', '3034', '1688')",28,0.004776300000003175,0.000990610050251274,3789.546875,0.22764227642276422,0.5226130653266332,0.44553763440860217,"[[90 34]
 [61 14]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 2}","('1620', '666', '2182', '3143', '1834', '851', '844', '3021', '2092', '2596', '2828', '543', '2719', '1862', '3793', '363', '2972', '1355', '412', '3265', '2363', '2519', '1148', '384', '3211', '2130', '3034', '1688')",28,0.002592000000007033,0.0010006070351758225,3792.0390625,0.4508670520231214,0.5226130653266332,0.5144623655913978,"[[65 59]
 [36 39]]"
