algorithm,params,features,n_features,train_time,predict_time,mem_max,f1,accuracy,roc_auc,confusion_matrix
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 3}","('3793', '3265', '3211', '3143', '3034', '3021', '2972', '2828', '2719', '2708', '2598', '2596', '2519', '2363', '2182', '2130', '2092', '1960', '1862', '1834', '1688', '1620', '1355', '1148', '851', '844', '666', '543', '412', '384', '363', 'Unnamed: 0')",32,0.0013517999999521635,0.0003959753768842676,4265.7890625,0.676923076923077,0.7889447236180904,0.824247311827957,"[[113  11]
 [ 31  44]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 3, 'p': 3}","('3793', '3265', '3211', '3143', '3034', '3021', '2972', '2828', '2719', '2708', '2598', '2596', '2519', '2363', '2182', '2130', '2092', '1960', '1862', '1834', '1688', '1620', '1355', '1148', '851', '844', '666', '543', '412', '384', '363', 'Unnamed: 0')",32,0.0013986999999815453,0.00041536030150740057,4269.32421875,0.6666666666666666,0.7788944723618091,0.7773655913978494,"[[111  13]
 [ 31  44]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 2}","('3793', '3265', '3211', '3143', '3034', '3021', '2972', '2828', '2719', '2708', '2598', '2596', '2519', '2363', '2182', '2130', '2092', '1960', '1862', '1834', '1688', '1620', '1355', '1148', '851', '844', '666', '543', '412', '384', '363', 'Unnamed: 0')",32,0.0014538000000356988,0.00038206281407036013,4271.8046875,0.6666666666666666,0.7889447236180904,0.8186559139784946,"[[115   9]
 [ 33  42]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 3}","('3793', '3265', '3211', '3143', '3021', '2828', '2719', '2708', '2598', '2596', '2519', '2363', '2182', '2130', '2092', '1960', '1834', '1688', '1355', '1148', '851', '844', '666', '543', '412', '384', 'Unnamed: 0')",27,0.001688800000010815,0.0004003175879398354,4274.25390625,0.701492537313433,0.7989949748743719,0.8361827956989246,"[[112  12]
 [ 28  47]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 3, 'p': 3}","('3793', '3265', '3211', '3143', '3021', '2828', '2719', '2708', '2598', '2596', '2519', '2363', '2182', '2130', '2092', '1960', '1834', '1688', '1355', '1148', '851', '844', '666', '543', '412', '384', 'Unnamed: 0')",27,0.001354999999989559,0.0003568311557787935,4274.0234375,0.7338129496402876,0.8140703517587939,0.8230645161290322,"[[111  13]
 [ 24  51]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 2}","('3793', '3265', '3211', '3143', '3021', '2828', '2719', '2708', '2598', '2596', '2519', '2363', '2182', '2130', '2092', '1960', '1834', '1688', '1355', '1148', '851', '844', '666', '543', '412', '384', 'Unnamed: 0')",27,0.0015111999999817272,0.0003678070351757175,4273.7265625,0.6717557251908396,0.7839195979899497,0.8225268817204301,"[[112  12]
 [ 31  44]]"
