algorithm,params,features,n_features,train_time,predict_time,mem_max,f1_weighted,balanced_accuracy,roc_auc_ovr_weighted,confusion_matrix
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 15), ('p', 3)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.0027294999999867287,0.21671920000062528,2103.6484375,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 13), ('p', 2)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.0027154999997947016,0.155672400000185,2103.6328125,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 11), ('p', 2)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.004564899999422778,0.1688815000006798,2104.46875,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 11), ('p', 3)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.00265659999968193,0.1586458000001585,2106.81640625,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 3), ('p', 3)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.0024993999995786,0.181081699999595,2109.76953125,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 9), ('p', 2)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.0024878999993234174,0.1423244000006889,2112.4921875,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 3), ('p', 2)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.0023184000001492677,0.12280480000026728,2115.609375,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 7), ('p', 2)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.003515299999889976,0.19101469999986875,2118.37109375,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 17), ('p', 2)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.002462500000547152,0.11778719999983878,2121.6484375,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 7), ('p', 3)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.002482199999576551,0.12264959999993152,2124.40234375,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 5), ('p', 2)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.002426000000014028,0.11659380000037345,2127.84765625,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 13), ('p', 3)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.0024005999994187732,0.1127595999996629,2131.09375,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 9), ('p', 3)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.002386399999522837,0.11632889999964391,2133.6796875,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 15), ('p', 2)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.0023400000000037835,0.11538100000052509,2137.07421875,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 17), ('p', 3)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.0023627999999007443,0.11046609999993962,2140.49609375,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
"KNeighborsClassifier(n_jobs=-1, p=3)","OrderedDict([('n_neighbors', 5), ('p', 3)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.002449999999953434,0.11595760000000155,2143.00390625,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
