algorithm,params,features,n_features,train_time,predict_time,mem_max,f1,accuracy,roc_auc,confusion_matrix
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 3}","('1620', '666', '2182', '3143', '1834', '851', '844', '3021', '2092', '2596', '2828', '543', '2719', '1862', '3793', '363', '2972', '1355', '412', '3265', '2363', '2519', '1148', '384', '3211', '2130', '3034', '1688')",28,0.003672900000005086,0.001138082914572859,3786.70703125,0.3473053892215569,0.45226130653266333,0.4497311827956989,"[[61 63]
 [46 29]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 3, 'p': 3}","('1620', '666', '2182', '3143', '1834', '851', '844', '3021', '2092', '2596', '2828', '543', '2719', '1862', '3793', '363', '2972', '1355', '412', '3265', '2363', '2519', '1148', '384', '3211', '2130', '3034', '1688')",28,0.004806399999999655,0.0013013512562814035,3789.49609375,0.36871508379888274,0.4321608040201005,0.43037634408602143,"[[53 71]
 [42 33]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 2}","('1620', '666', '2182', '3143', '1834', '851', '844', '3021', '2092', '2596', '2828', '543', '2719', '1862', '3793', '363', '2972', '1355', '412', '3265', '2363', '2519', '1148', '384', '3211', '2130', '3034', '1688')",28,0.0030278999999922007,0.0012807572864321503,3792.8671875,0.19298245614035087,0.5376884422110553,0.48698924731182797,"[[96 28]
 [64 11]]"
