algorithm,params,features,n_features,train_time,predict_time,mem_max,f1_weighted,balanced_accuracy,roc_auc_ovr_weighted,confusion_matrix
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"OrderedDict([('n_jobs', -1), ('n_neighbors', 11), ('p', 3)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.0038249000000014632,0.007530570000000006,1340.140625,0.9665831244778613,0.9666666666666667,1.0,"[[10  0  0]
 [ 0  9  1]
 [ 0  0 10]]"
<class 'sklearn.ensemble._stacking.StackingClassifier'>,"OrderedDict([('n_jobs', -1), ('stack_method', 'auto')])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.20842609999999695,0.005243313333333314,2005.234375,0.9665831244778613,0.9666666666666667,1.0,"[[10  0  0]
 [ 0  9  1]
 [ 0  0 10]]"
<class 'sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis'>,"OrderedDict([('priors', None)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.002857400000010557,0.00043751333333356496,1897.4375,0.9665831244778613,0.9666666666666667,1.0,"[[10  0  0]
 [ 0  9  1]
 [ 0  0 10]]"
<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>,"OrderedDict([('algorithm', 'SAMME.R')])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.09279979999999455,0.0013456199999997882,1895.84765625,0.9326599326599326,0.9333333333333332,0.98,"[[10  0  0]
 [ 0  8  2]
 [ 0  0 10]]"
<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>,"OrderedDict([('loss', 'deviance')])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.21931229999998436,0.0005356733333333826,1975.859375,0.9326599326599326,0.9333333333333332,0.9650000000000001,"[[10  0  0]
 [ 0  8  2]
 [ 0  0 10]]"
<class 'sklearn.ensemble._stacking.StackingClassifier'>,"OrderedDict([('n_jobs', -1), ('stack_method', 'auto')])","('sepal_length', 'sepal_width', 'petal_length')",3,0.11796400000000062,0.0076063799999995275,2021.859375,0.9326599326599326,0.9333333333333332,0.9933333333333333,"[[10  0  0]
 [ 0  8  2]
 [ 0  0 10]]"
<class 'sklearn.ensemble._voting.VotingClassifier'>,"OrderedDict([('n_jobs', -1), ('voting', 'soft')])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.020204100000000835,0.00536655000000034,1995.94140625,0.9326599326599326,0.9333333333333332,1.0,"[[10  0  0]
 [ 0  8  2]
 [ 0  0 10]]"
<class 'sklearn.linear_model._logistic.LogisticRegression'>,"OrderedDict([('C', 1000.0), ('n_jobs', -1)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.022797099999991133,0.0003453966666664125,1989.94140625,0.9326599326599326,0.9333333333333332,1.0,"[[10  0  0]
 [ 0  8  2]
 [ 0  0 10]]"
<class 'sklearn.naive_bayes.GaussianNB'>,"OrderedDict([('priors', None)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.0037846000000172353,0.00037143666666660614,1895.53515625,0.9326599326599326,0.9333333333333332,0.9933333333333333,"[[10  0  0]
 [ 0  8  2]
 [ 0  0 10]]"
<class 'sklearn.tree._classes.DecisionTreeClassifier'>,"OrderedDict([('criterion', 'gini')])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.0027137999999951035,0.00033259333333338266,1853.98046875,0.9326599326599326,0.9333333333333332,0.95,"[[10  0  0]
 [ 0  8  2]
 [ 0  0 10]]"
<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>,"OrderedDict([('algorithm', 'SAMME.R')])","('sepal_width', 'petal_length', 'petal_width')",3,0.09145620000003873,0.0012853699999993752,2022.296875,0.9326599326599326,0.9333333333333332,0.98,"[[10  0  0]
 [ 0  8  2]
 [ 0  0 10]]"
<class 'xgboost.sklearn.XGBClassifier'>,"OrderedDict([('alpha', 1.0), ('colsample_bytree', 0.8), ('eta', 0.05), ('eval_metric', 'mlogloss'), ('gamma', 0.05), ('lambda', 0.1), ('max_depth', 15), ('min_child_weight', 5), ('subsample', 0.6), ('use_label_encoder', False)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.11346729999999638,0.0009722666666666176,1965.37890625,0.9326599326599326,0.9333333333333332,0.9650000000000001,"[[10  0  0]
 [ 0  8  2]
 [ 0  0 10]]"
<class 'sklearn.svm._classes.SVC'>,"OrderedDict([('C', 1000.0), ('class_weight', None), ('gamma', 'scale'), ('probability', True)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.005417200000003675,0.00040614333333337526,1684.38671875,0.8976982097186702,0.9,0.9900000000000001,"[[10  0  0]
 [ 0  7  3]
 [ 0  0 10]]"
<class 'sklearn.gaussian_process._gpc.GaussianProcessClassifier'>,"OrderedDict([('copy_X_train', False), ('n_jobs', -1), ('warm_start', True)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.09247899999999731,0.008281016666666592,1845.9453125,0.8976982097186702,0.9,0.9883333333333334,"[[10  0  0]
 [ 0  7  3]
 [ 0  0 10]]"
<class 'sklearn.ensemble._forest.RandomForestClassifier'>,"OrderedDict([('max_depth', 30), ('max_features', 'sqrt'), ('min_samples_leaf', 10), ('min_samples_split', 10), ('n_estimators', 120), ('n_jobs', -1)])","('sepal_length', 'sepal_width', 'petal_length', 'petal_width')",4,0.3583956000000086,0.006816333333333091,1887.2265625,0.8976982097186702,0.9,0.9916666666666667,"[[10  0  0]
 [ 0  7  3]
 [ 0  0 10]]"
